name,return,title,release_date,budget,revenue
David Seltzer,0.0,Jabberwocky,1977-03-28,0,0.0
David Seltzer,0.0,Jabberwocky,1977-03-28,0,0.0
David Seltzer,0.0,Jabberwocky,1977-03-28,0,0.0
David Seltzer,0.0,Jabberwocky,1977-03-28,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Richard Franklin,0.0,Colonel Redl,1985-03-29,0,0.0
Russell Crowe,inf,Rififi,1955-04-13,0,460226.0
Russell Crowe,inf,Rififi,1955-04-13,0,460226.0
Russell Crowe,inf,Rififi,1955-04-13,0,460226.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
Michael Showalter,0.4072272608695652,Cheri,2009-02-10,23000000,9366227.0
